,http://purl.org/vocab/bio/0.1/place
13,[{'@id': 'http://vespasianodabisticciletters.unibo.it/antella'}]
14,[{'@id': 'http://vespasianodabisticciletters.unibo.it/firenze'}]
17,[{'@id': 'http://vespasianodabisticciletters.unibo.it/roma'}]
21,[{'@id': 'http://vespasianodabisticciletters.unibo.it/citta-del-vaticano'}]
40,[{'@id': 'http://vespasianodabisticciletters.unibo.it/spoleto'}]
41,[{'@id': 'http://vespasianodabisticciletters.unibo.it/napoli'}]
130,[{'@id': 'http://vespasianodabisticciletters.unibo.it/torino'}]
167,[{'@id': 'http://vespasianodabisticciletters.unibo.it/milano'}]
199,[{'@id': 'http://vespasianodabisticciletters.unibo.it/poppi'}]
204,[{'@id': 'http://vespasianodabisticciletters.unibo.it/los-altos-hills'}]
216,[{'@id': 'http://vespasianodabisticciletters.unibo.it/venezia'}]
337,[{'@id': 'http://vespasianodabisticciletters.unibo.it/montegufoni'}]
392,[{'@id': 'http://vespasianodabisticciletters.unibo.it/bari'}]
404,[{'@id': 'http://vespasianodabisticciletters.unibo.it/padova'}]
557,[{'@id': 'http://vespasianodabisticciletters.unibo.it/forli'}]
745,[{'@id': 'http://vespasianodabisticciletters.unibo.it/verona'}]
775,[{'@id': 'http://vespasianodabisticciletters.unibo.it/londra'}]
812,[{'@id': 'http://vespasianodabisticciletters.unibo.it/leiden'}]
1038,[{'@id': 'http://vespasianodabisticciletters.unibo.it/rocca-s-casciano'}]
1060,[{'@id': 'http://vespasianodabisticciletters.unibo.it/new-york'}]
1313,[{'@id': 'http://vespasianodabisticciletters.unibo.it/vicenza'}]
1367,[{'@id': 'http://vespasianodabisticciletters.unibo.it/bologna'}]
1529,[{'@id': 'http://vespasianodabisticciletters.unibo.it/parigi'}]
1700,[{'@id': 'http://vespasianodabisticciletters.unibo.it/vacciano'}]
1772,[{'@id': 'http://vespasianodabisticciletters.unibo.it/accampamento-aragonese-location'}]
1792,[{'@id': 'http://vespasianodabisticciletters.unibo.it/firenza'}]
1828,[{'@id': 'http://vespasianodabisticciletters.unibo.it/madrid'}]
1897,[{'@id': 'http://vespasianodabisticciletters.unibo.it/ospedaletto'}]
1900,[{'@id': 'http://vespasianodabisticciletters.unibo.it/oxford'}]
2174,[{'@id': 'http://vespasianodabisticciletters.unibo.it/aversa'}]
2175,[{'@id': 'http://vespasianodabisticciletters.unibo.it/modena'}]
2466,[{'@id': 'http://vespasianodabisticciletters.unibo.it/unknown-place'}]
2500,[{'@id': 'http://vespasianodabisticciletters.unibo.it/munchen'}]
3310,[{'@id': 'http://vespasianodabisticciletters.unibo.it/pozzuoli'}]
